kabko,latitude,longitude,group,region,ADM2_PCODE
KAB. KEPULAUAN SANGIHE,3.6329,125.5001,29,North Sulawesi,ID7103
KAB. KEPULAUAN SIAU TAGULANDANG BIARO,2.346,125.4124,29,North Sulawesi,ID7108
KAB. KEPULAUAN TALAUD,4.3067,126.8035,29,North Sulawesi,ID7104
KAB. MINAHASA,1.2169,124.8183,29,North Sulawesi,ID7102
KAB. MINAHASA SELATAN,1.0947,124.4642,29,North Sulawesi,ID7105
KAB. MINAHASA TENGGARA,1.0279,124.7299,29,North Sulawesi,ID7109
KAB. MINAHASA UTARA,1.5328,124.9948,29,North Sulawesi,ID7106
KOTA BITUNG,1.4404,125.1217,29,North Sulawesi,ID7172
KOTA KOTAMOBAGU,0.7244,124.3199,29,North Sulawesi,ID7174
KOTA MANADO,1.4748,124.8421,29,North Sulawesi,ID7171
KOTA TOMOHON,1.3229,124.8405,29,North Sulawesi,ID7173
KAB. MAJENE,-3.0297,118.9063,30,West Sulawesi,ID7601
KAB. MAMASA,-2.9118,119.325,30,West Sulawesi,ID7603
KAB. MAMUJU,-2.492,119.325,30,West Sulawesi,ID7604
KAB. MAMUJU TENGAH,-1.9354,119.5108,30,West Sulawesi,ID7606
KAB. MAMUJU UTARA,-1.5265,119.5108,30,West Sulawesi,ID7605
KAB. POLEWALI MANDAR,-3.3419,119.1391,30,West Sulawesi,ID7602
KAB. BURU,-3.3307,126.6957,31,Maluku,ID8104
KAB. BURU SELATAN,-3.7274,126.6957,31,Maluku,ID8109
KAB. KEPULAUAN ARU,-6.1947,134.5502,31,Maluku,ID8105
Maluku Tenggara Barat,,,31,Maluku,ID8101
KAB. MALUKU BARAT DAYA,-7.7852,126.3498,31,Maluku,ID8108
KAB. MALUKU TENGAH,-3.0167,129.4864,31,Maluku,ID8103
KAB. MALUKU TENGGARA,-5.7512,132.7272,31,Maluku,ID8102
KAB. SERAM BAGIAN BARAT,-3.1272,128.4008,31,Maluku,ID8106
KAB. SERAM BAGIAN TIMUR,-3.4233,130.2271,31,Maluku,ID8107
KOTA AMBON,-3.6554,128.1908,31,Maluku,ID8171
KOTA TUAL,-5.6266,132.7521,31,Maluku,ID8172
KAB. HALMAHERA BARAT,1.359,127.5961,32,North Maluku,ID8201
KAB. HALMAHERA TENGAH,0.442,128.3587,32,North Maluku,ID8202
KAB. HALMAHERA UTARA,1.5074,127.8937,32,North Maluku,ID8205
KAB. HALMAHERA SELATAN,-1.5109,127.7238,32,North Maluku,ID8204
KAB. KEPULAUAN SULA,-1.8456,125.3431,32,North Maluku,ID8203
KAB. HALMAHERA TIMUR,1.3121,128.485,32,North Maluku,ID8206
KAB. PULAU MOROTAI,2.3657,128.4008,32,North Maluku,ID8207
KAB. PULAU TALIABU,-1.8268,124.7741,32,North Maluku,ID8208
KOTA TERNATE,0.771,127.3695,32,North Maluku,ID8271
KOTA TIDORE KEPULAUAN,0.674,127.4041,32,North Maluku,ID8272
KAB. ASMAT,-5.0574,138.3988,33,Papua,ID9415
KAB. BIAK NUMFOR,-1.0381,135.9801,33,Papua,ID9409
KAB. BOVEN DIGOEL,-5.74,140.3482,33,Papua,ID9413
KAB. DEIYAI,-4.0975,136.4393,33,Papua,ID9436
KAB. DOGIYAI,-4.0454,135.6763,33,Papua,ID9434
KAB. INTAN JAYA,-3.5076,136.7478,33,Papua,ID9435
KAB. JAYAPURA,-2.9879,139.8547,33,Papua,ID9403
KAB. JAYAWIJAYA,-4.0004,138.7995,33,Papua,ID9402
KAB. KEEROM,-3.345,140.7624,33,Papua,ID9420
KAB. KEPULAUAN YAPEN,-1.7469,136.1709,33,Papua,ID9408
KAB. LANNY JAYA,-3.971,138.319,33,Papua,ID9430
KAB. MAMBERAMO RAYA,-2.5331,137.7638,33,Papua,ID9428
KAB. MAMBERAMO TENGAH,-2.3746,138.319,33,Papua,ID9431
KAB. MAPPI,-6.7606,139.6911,33,Papua,ID9414
KAB. MERAUKE,-7.7838,139.0413,33,Papua,ID9401
KAB. MIMIKA,-4.4553,137.1362,33,Papua,ID9412
KAB. NABIRE,-3.5095,135.7521,33,Papua,ID9404
KAB. NDUGA,-4.4069,138.2394,33,Papua,ID9429
KAB. PANIAI,-3.7876,136.3625,33,Papua,ID9410
KAB. PEGUNUNGAN BINTANG,-4.559,140.5136,33,Papua,ID9417
KAB. PUNCAK,-3.8649,137.6062,33,Papua,ID9433
KAB. PUNCAK JAYA,-3.4468,137.8427,33,Papua,ID9411
KAB. SARMI,-2.4678,139.2031,33,Papua,ID9419
KAB. SUPIORI,-0.7295,135.6385,33,Papua,ID9427
KAB. TOLIKARA,-3.4811,138.4787,33,Papua,ID9418
KAB. WAROPEN,-1.7469,136.1709,33,Papua,ID9426
KAB. YAHUKIMO,-4.494,139.528,33,Papua,ID9416
KAB. YALIMO,-3.7853,139.4466,33,Papua,ID9432
KOTA JAYAPURA,-2.5916,140.669,33,Papua,ID9471
KAB. FAKFAK,-3.0977,133.0195,34,West Papua,ID9101
KAB. KAIMANA,-3.2884,133.9437,34,West Papua,ID9102
KAB. MANOKWARI,-0.999,133.0195,34,West Papua,ID9105
KAB. MANOKWARI SELATAN,-0.999,133.0195,34,West Papua,ID9111
KAB. MAYBRAT,-1.2971,132.3151,34,West Papua,ID9110
KAB. PEGUNUNGAN ARFAK,-1.1555,133.7142,34,West Papua,ID9112
KAB. RAJA AMPAT,-1.0915,130.8779,34,West Papua,ID9108
KAB. SORONG,-1.1223,131.4883,34,West Papua,ID9107
KAB. SORONG SELATAN,-1.7658,132.1573,34,West Papua,ID9106
KAB. TAMBRAUW,-0.7819,132.3938,34,West Papua,ID9109
KAB. TELUK BINTUNI,-1.9057,133.3295,34,West Papua,ID9104
KAB. TELUK WONDAMA,-2.8552,134.3237,34,West Papua,ID9103
KOTA SORONG,-0.8762,131.2558,34,West Papua,ID9171
