Country,Region,Population,GDP,Currency,Language,Government,Tourism
Indonesia,Southeast Asia,270 Million,$1.1 trillion USD,Indonesian Rupiah (IDR),Bahasa Indonesia,Presidential system,Rich in natural beauty
Singapore,Southeast Asia,5.7 Million,$360 billion USD,Singapore Dollar (SGD),English,Parliamentary system,Modern architecture
